id_cliente,cancelacion,genero,adulto_mayor,pareja,dependientes,meses_antiguedad,servicio_telefonico,multiples_lineas,servicio_internet,seguridad_en_linea,respaldo_en_linea,proteccion_dispositivo,soporte_tecnico,tv_streaming,peliculas_streaming,tipo_contrato,factura_digital,metodo_pago,cargos_mensuales,cargos_totales,cancelacion_binaria,cargos_diarios,total_servicios,etiqueta_adulto_mayor
0002-ORFBO,No,Femenino,0,Si,Si,9,Si,No,DSL,No,Si,No,Si,Si,No,Un ano,Si,Cheque enviado por correo,65.6,593.3,0,2.1866666666666665,5,No
0003-MKNFE,No,Masculino,0,No,No,9,Si,Si,DSL,No,No,No,No,No,Si,Mes a mes,No,Cheque enviado por correo,59.9,542.4,0,1.9966666666666666,4,No
0004-TLHLJ,Si,Masculino,0,No,No,4,Si,No,Fibra optica,No,No,Si,No,No,No,Mes a mes,Si,Cheque electronico,73.9,280.85,1,2.4633333333333334,3,No
0011-IGKFF,Si,Masculino,1,Si,No,13,Si,No,Fibra optica,No,Si,Si,No,Si,Si,Mes a mes,Si,Cheque electronico,98.0,1237.85,1,3.2666666666666666,6,Si
0013-EXCHZ,Si,Femenino,1,Si,No,3,Si,No,Fibra optica,No,No,No,Si,Si,No,Mes a mes,Si,Cheque enviado por correo,83.9,267.4,1,2.796666666666667,4,Si
0013-MHZWF,No,Femenino,0,No,Si,9,Si,No,DSL,No,No,No,Si,Si,Si,Mes a mes,Si,Tarjeta de credito automatica,69.4,571.45,0,2.3133333333333335,5,No
0013-SMEOE,No,Femenino,1,Si,No,71,Si,No,Fibra optica,Si,Si,Si,Si,Si,Si,Dos anos,Si,Transferencia bancaria automatica,109.7,7904.25,0,3.6566666666666667,8,Si
0014-BMAQU,No,Masculino,0,Si,No,63,Si,Si,Fibra optica,Si,No,No,Si,No,No,Dos anos,Si,Tarjeta de credito automatica,84.65,5377.8,0,2.8216666666666668,5,No
0015-UOCOJ,No,Femenino,1,No,No,7,Si,No,DSL,Si,No,No,No,No,No,Mes a mes,Si,Cheque electronico,48.2,340.35,0,1.6066666666666667,3,Si
0016-QLJIS,No,Femenino,0,Si,Si,65,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos anos,Si,Cheque enviado por correo,90.45,5957.9,0,3.015,9,No
0017-DINOC,No,Masculino,0,No,No,54,No,Sin servicio telefonico,DSL,Si,No,No,Si,Si,No,Dos anos,No,Tarjeta de credito automatica,45.2,2460.55,0,1.5066666666666668,4,No
0017-IUDMW,No,Femenino,0,Si,Si,72,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos anos,Si,Tarjeta de credito automatica,116.8,8456.75,0,3.893333333333333,9,No
0018-NYROU,No,Femenino,0,Si,No,5,Si,No,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Cheque electronico,68.95,351.5,0,2.2983333333333333,2,No
0019-EFAEP,No,Femenino,0,No,No,72,Si,Si,Fibra optica,Si,Si,Si,No,Si,No,Dos anos,Si,Transferencia bancaria automatica,101.3,7261.25,0,3.3766666666666665,7,No
0019-GFNTW,No,Femenino,0,No,No,56,No,Sin servicio telefonico,DSL,Si,Si,Si,Si,No,No,Dos anos,No,Transferencia bancaria automatica,45.05,2560.1,0,1.5016666666666665,5,No
0020-INWCK,No,Femenino,0,Si,Si,71,Si,Si,Fibra optica,No,Si,Si,No,No,Si,Dos anos,Si,Tarjeta de credito automatica,95.75,6849.4,0,3.191666666666667,6,No
0020-JDNXP,No,Femenino,0,Si,Si,34,No,Sin servicio telefonico,DSL,Si,No,Si,Si,Si,Si,Un ano,No,Cheque enviado por correo,61.25,1993.2,0,2.0416666666666665,6,No
0021-IKXGC,No,Femenino,1,No,No,1,Si,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Cheque electronico,72.1,72.1,0,2.4033333333333333,3,Si
0022-TCJCI,Si,Masculino,1,No,No,45,Si,No,DSL,Si,No,Si,No,No,Si,Un ano,No,Tarjeta de credito automatica,62.7,2791.5,1,2.0900000000000003,5,Si
0023-HGHWL,Si,Masculino,1,No,No,1,No,Sin servicio telefonico,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque electronico,25.1,25.1,1,0.8366666666666667,1,Si
0023-UYUPN,No,Femenino,1,Si,No,50,Si,Si,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un ano,No,Cheque electronico,25.2,1306.3,0,0.84,2,Si
0023-XUOPT,Si,Femenino,0,Si,No,13,Si,Si,Fibra optica,No,Si,Si,No,Si,No,Mes a mes,No,Cheque electronico,94.1,1215.6,1,3.1366666666666663,6,No
0027-KWYKW,No,Femenino,0,Si,Si,23,Si,Si,Fibra optica,No,No,No,No,Si,No,Mes a mes,Si,Cheque electronico,83.75,1849.95,0,2.7916666666666665,4,No
0030-FNXPP,No,Femenino,0,No,No,3,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Cheque enviado por correo,19.85,57.2,0,0.6616666666666667,1,No
0031-PVLZI,Si,Femenino,0,Si,Si,4,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Cheque enviado por correo,20.35,76.35,1,0.6783333333333333,1,No
0032-PGELS,Si,Femenino,0,Si,Si,1,No,Sin servicio telefonico,DSL,Si,No,No,No,No,No,Mes a mes,No,Transferencia bancaria automatica,30.5,30.5,1,1.0166666666666666,2,No
0036-IHMOT,No,Femenino,0,Si,Si,55,Si,No,Fibra optica,No,Si,Si,Si,Si,Si,Un ano,Si,Transferencia bancaria automatica,103.7,5656.75,0,3.4566666666666666,7,No
0040-HALCW,No,Masculino,0,Si,Si,54,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,No,Tarjeta de credito automatica,20.4,1090.6,0,0.6799999999999999,1,No
0042-JVWOJ,No,Masculino,0,No,No,26,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un ano,Si,Transferencia bancaria automatica,19.6,471.85,0,0.6533333333333334,1,No
0042-RLHYP,No,Femenino,0,Si,Si,69,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,No,Transferencia bancaria automatica,19.7,1396.9,0,0.6566666666666666,1,No
0048-LUMLS,No,Masculino,0,Si,Si,37,Si,No,Fibra optica,No,No,No,No,Si,Si,Un ano,No,Tarjeta de credito automatica,91.2,3247.55,0,3.04,4,No
0048-PIHNL,No,Femenino,0,Si,No,49,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un ano,No,Transferencia bancaria automatica,20.45,900.9,0,0.6816666666666666,1,No
0052-DCKON,No,Masculino,0,Si,No,66,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Un ano,No,Transferencia bancaria automatica,115.8,7942.15,0,3.86,9,No
0052-YNYOT,No,Femenino,0,No,No,67,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un ano,No,Cheque electronico,20.55,1343.4,0,0.685,1,No
0056-EPFBG,No,Masculino,0,Si,Si,20,No,Sin servicio telefonico,DSL,Si,No,Si,Si,No,No,Dos anos,Si,Tarjeta de credito automatica,39.4,825.4,0,1.3133333333333332,4,No
0057-QBUQH,No,Femenino,0,No,Si,43,Si,Si,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,Si,Cheque electronico,25.1,1070.15,0,0.8366666666666667,2,No
0058-EVZWM,No,Femenino,0,Si,No,55,Si,Si,Fibra optica,Si,No,No,No,Si,No,Mes a mes,Si,Transferencia bancaria automatica,89.8,4959.6,0,2.993333333333333,5,No
0060-FUALY,No,Femenino,0,Si,No,59,Si,Si,Fibra optica,Si,Si,No,No,Si,No,Mes a mes,Si,Cheque electronico,94.75,5597.65,0,3.158333333333333,6,No
0064-SUDOG,No,Femenino,0,Si,Si,12,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,No,Transferencia bancaria automatica,20.3,224.5,0,0.6766666666666666,1,No
0064-YIJGF,No,Masculino,0,Si,Si,27,Si,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Transferencia bancaria automatica,75.75,1929.0,0,2.525,3,No
0067-DKWBL,Si,Masculino,1,No,No,2,Si,No,DSL,Si,No,No,No,No,No,Mes a mes,Si,Cheque electronico,49.25,91.1,1,1.6416666666666666,3,Si
0068-FIGTF,No,Femenino,0,No,No,27,Si,No,DSL,No,Si,Si,Si,Si,Si,Un ano,No,Cheque enviado por correo,78.2,2078.95,0,2.606666666666667,7,No
0071-NDAFP,No,Masculino,0,Si,Si,25,Si,Si,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,No,Tarjeta de credito automatica,25.5,630.6,0,0.85,2,No
0074-HDKDG,No,Masculino,0,Si,Si,25,Si,No,DSL,Si,Si,Si,No,No,No,Un ano,Si,Transferencia bancaria automatica,61.6,1611.0,0,2.0533333333333332,5,No
0076-LVEPS,No,Masculino,0,No,Si,29,No,Sin servicio telefonico,DSL,Si,Si,Si,Si,No,No,Mes a mes,Si,Cheque enviado por correo,45.0,1242.45,0,1.5,5,No
0078-XZMHT,No,Masculino,0,Si,No,72,Si,Si,DSL,No,Si,Si,Si,Si,Si,Dos anos,Si,Transferencia bancaria automatica,85.15,6316.2,0,2.8383333333333334,8,No
0080-EMYVY,No,Femenino,0,No,No,14,Si,No,DSL,No,Si,No,No,No,No,Un ano,No,Tarjeta de credito automatica,51.45,727.85,0,1.715,3,No
0080-OROZO,No,Femenino,0,No,No,35,Si,No,Fibra optica,No,No,Si,Si,Si,Si,Un ano,Si,Cheque electronico,99.25,3532.0,0,3.308333333333333,6,No
0082-LDZUE,No,Masculino,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque enviado por correo,44.3,44.3,0,1.4766666666666666,2,No
0082-OQIQY,No,Masculino,0,No,No,29,Si,No,Fibra optica,No,No,No,Si,Si,Si,Mes a mes,Si,Cheque electronico,94.2,2607.6,0,3.14,5,No
0083-PIVIK,No,Masculino,0,No,No,64,Si,Si,DSL,Si,Si,Si,Si,Si,No,Un ano,No,Cheque electronico,81.25,5567.55,0,2.7083333333333335,8,No
0089-IIQKO,No,Femenino,0,Si,Si,39,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Mes a mes,Si,Tarjeta de credito automatica,99.95,3767.4,0,3.3316666666666666,6,No
0093-EXYQL,No,Femenino,1,No,No,40,Si,No,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electronico,91.55,3673.6,0,3.0516666666666667,4,Si
0093-XWZFY,Si,Masculino,0,No,No,40,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mes a mes,Si,Tarjeta de credito automatica,104.5,4036.85,1,3.4833333333333334,7,No
0094-OIFMO,Si,Femenino,1,No,No,11,Si,No,Fibra optica,No,Si,No,No,Si,Si,Mes a mes,Si,Cheque electronico,95.0,1120.3,1,3.1666666666666665,5,Si
0096-BXERS,No,Femenino,0,Si,No,6,Si,Si,DSL,No,No,No,No,No,No,Mes a mes,No,Cheque electronico,50.35,314.55,0,1.6783333333333335,3,No
0096-FCPUF,No,Masculino,0,No,No,30,Si,Si,DSL,Si,No,No,No,No,Si,Mes a mes,Si,Cheque enviado por correo,64.5,1888.45,0,2.15,5,No
0098-BOWSO,No,Masculino,0,No,No,27,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,Si,Cheque electronico,19.4,529.8,0,0.6466666666666666,1,No
0100-DUVFC,No,Masculino,1,Si,No,70,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Un ano,Si,Cheque electronico,104.8,7308.95,0,3.493333333333333,7,Si
