,importancia
tipo_contrato_Mes a mes,0.14513737682531302
meses_antiguedad,0.12102360004785138
cargos_totales,0.08913222994346072
tipo_contrato_Dos anos,0.0713952727086064
seguridad_en_linea_No,0.06127430068228848
soporte_tecnico_No,0.05932687953551507
cargos_mensuales,0.051488111961344264
servicio_internet_Fibra optica,0.05095191567103776
metodo_pago_Cheque electronico,0.04430160816986621
tipo_contrato_Un ano,0.023754180773673274
servicio_internet_DSL,0.018532225850152507
respaldo_en_linea_No,0.018509856722372476
